nuts2_id,country,scenario,cf
CZ06,Czechia,RCP8.5,757.1
CZ06,Czechia,RCP8.5,907.53
CZ06,Czechia,RCP8.5,785.64
CZ06,Czechia,RCP8.5,1301.96
CZ06,Czechia,RCP8.5,400.31
CZ06,Czechia,RCP8.5,1814.87
CZ06,Czechia,RCP8.5,605.21
CZ06,Czechia,RCP8.5,1054.19
CZ06,Czechia,RCP8.5,623.58
CZ06,Czechia,RCP8.5,1436.11
CZ06,Czechia,RCP8.5,3556.82
CZ06,Czechia,RCP8.5,486.57
CZ07,Czechia,RCP8.5,2136.73
CZ07,Czechia,RCP8.5,970.96
CZ07,Czechia,RCP8.5,944.6
CZ07,Czechia,RCP8.5,1688.62
CZ07,Czechia,RCP8.5,674.38
CZ07,Czechia,RCP8.5,1228.84
CZ02,Czechia,RCP8.5,536.51
SI04,Slovenia,Baseline,315.35
SI04,Slovenia,Baseline,502.34
SI03,Slovenia,Baseline,774.24
SI03,Slovenia,Baseline,630.29
SI03,Slovenia,Baseline,399.12
SI03,Slovenia,Baseline,713.29
SI03,Slovenia,Baseline,327.46
SI03,Slovenia,Baseline,598.63
SI03,Slovenia,Baseline,354.42
SI03,Slovenia,Baseline,702.07
SI03,Slovenia,Baseline,582.59
SI03,Slovenia,Baseline,775.35
SI03,Slovenia,Baseline,702.37
SI03,Slovenia,Baseline,420.6
SI03,Slovenia,Baseline,590.27
SI03,Slovenia,Baseline,495.93
SI03,Slovenia,Baseline,372.83
SI03,Slovenia,Baseline,1490.81
SI03,Slovenia,Baseline,814.31
SI03,Slovenia,Baseline,856.23
SI03,Slovenia,Baseline,644.46
SI03,Slovenia,Baseline,1170.42
SI03,Slovenia,Baseline,506.04
SI03,Slovenia,Baseline,938.21
SI03,Slovenia,Baseline,625.17
SI03,Slovenia,Baseline,1646.72
SI03,Slovenia,Baseline,357.98
SI03,Slovenia,Baseline,1080.91
SI03,Slovenia,Baseline,3079.77
SI03,Slovenia,Baseline,350.71
SI03,Slovenia,Baseline,1533.09
SI03,Slovenia,Baseline,3342.94
SI03,Slovenia,Baseline,840.27
SI03,Slovenia,Baseline,567.84
SI03,Slovenia,Baseline,1556.54
SI03,Slovenia,Baseline,609.9
SI03,Slovenia,Baseline,416.49
SI03,Slovenia,Baseline,2886.08
SI03,Slovenia,Baseline,896.99
SI03,Slovenia,Baseline,3604.6
SI03,Slovenia,Baseline,1104
SI03,Slovenia,Baseline,832.78
SI03,Slovenia,Baseline,354.01
SI03,Slovenia,Baseline,2180.4
SI03,Slovenia,Baseline,1511.14
SI03,Slovenia,Baseline,2055.21
SI03,Slovenia,Baseline,608.66
SI03,Slovenia,Baseline,534.17
SI03,Slovenia,Baseline,1221.79
SI03,Slovenia,Baseline,2117
SI03,Slovenia,Baseline,1428.88
SI03,Slovenia,Baseline,2794.33
SI03,Slovenia,Baseline,588.28
SI03,Slovenia,Baseline,1322.71
SI03,Slovenia,Baseline,1122.54
SI03,Slovenia,Baseline,1410.52
SI03,Slovenia,Baseline,1313.16
SI03,Slovenia,Baseline,891.85
SI03,Slovenia,Baseline,761.22
SI03,Slovenia,Baseline,3341.01
SI03,Slovenia,Baseline,962.86
SI03,Slovenia,Baseline,3341.01
SI03,Slovenia,Baseline,1228.88
SI03,Slovenia,Baseline,1412.87
SI03,Slovenia,Baseline,917.01
SI03,Slovenia,Baseline,4571.72
SI03,Slovenia,Baseline,878.81
SI03,Slovenia,Baseline,1123.96
SI03,Slovenia,Baseline,1608.16
SI03,Slovenia,Baseline,1909.85
SI03,Slovenia,Baseline,2932.67
SI03,Slovenia,Baseline,4132.26
SI03,Slovenia,Baseline,1161.63
SI03,Slovenia,Baseline,951.16
SI03,Slovenia,Baseline,1528.53
SI03,Slovenia,Baseline,1781.79
SI03,Slovenia,Baseline,836.83
SI03,Slovenia,Baseline,844.63
SI03,Slovenia,Baseline,1094.59
SI03,Slovenia,Baseline,963.08
SI03,Slovenia,Baseline,1500.02
SI03,Slovenia,Baseline,1728.82
SI03,Slovenia,Baseline,1306.43
SI03,Slovenia,Baseline,1162.72
SI03,Slovenia,Baseline,1697.16
SI03,Slovenia,Baseline,4346.53
SI03,Slovenia,Baseline,2487.65
SI03,Slovenia,Baseline,5553.55
SI03,Slovenia,Baseline,3031.58
SI04,Slovenia,RCP2.6,352.36
SI04,Slovenia,RCP2.6,823.42
SI03,Slovenia,RCP2.6,745.33
SI03,Slovenia,RCP2.6,657.55
SI03,Slovenia,RCP2.6,506.92
SI03,Slovenia,RCP2.6,886.58
SI03,Slovenia,RCP2.6,477.13
SI03,Slovenia,RCP2.6,850.2
SI03,Slovenia,RCP2.6,515.57
SI03,Slovenia,RCP2.6,858.09
SI03,Slovenia,RCP2.6,559.25
SI03,Slovenia,RCP2.6,549.06
SI03,Slovenia,RCP2.6,1147.26
SI03,Slovenia,RCP2.6,661.67
SI03,Slovenia,RCP2.6,434
SI03,Slovenia,RCP2.6,361.22
SI03,Slovenia,RCP2.6,468.83
SI03,Slovenia,RCP2.6,1793.03
SI03,Slovenia,RCP2.6,988.62
SI03,Slovenia,RCP2.6,1038.07
SI03,Slovenia,RCP2.6,785.41
SI03,Slovenia,RCP2.6,2330.38
SI03,Slovenia,RCP2.6,562.15
SI03,Slovenia,RCP2.6,1511.69
SI03,Slovenia,RCP2.6,1086.64
SI03,Slovenia,RCP2.6,1943.63
SI03,Slovenia,RCP2.6,615.27
SI03,Slovenia,RCP2.6,1475.8
SI03,Slovenia,RCP2.6,4786.91
SI03,Slovenia,RCP2.6,550.29
SI03,Slovenia,RCP2.6,2934.05
